appid,name,sim_tags,sim_about,tags,movies,positive,negative,total_reviews,rating_ratio,about_the_game
1157670,Hepta Beats,0.25381556014112344,0.41101267166021593,"Precision Platformer,Rhythm,Music,Difficult,Abstract,Side Scroller,Fast-Paced,Unforgiving,Casual,Short,Minimalist,Colorful",,28,4,32,0.875,"Hepta Beats is a 2D side-view platformer game in which the levels are controlled by the rhythm, predict adversities by following the rhythm to surpass the challenges. Predict the rhythm of the music to move forward Creative hand-crafted levels Die and try again Features 9 different levels with its own music Rhythm based gameplay Challenging levels Colorfur levels +9 harder levels to come(free DLC) Settings to change the colors (color blind people friendly)"
1420650,Touhou Bunkachou ～ Shoot the Bullet.,0.5888122717610684,0.12254954802024044,"Action,Shoot 'Em Up,Shooter,2D,Score Attack,Indie,Singleplayer,Bullet Hell,Faith,Difficult,Anime,Female Protagonist,Great Soundtrack",,84,3,87,0.9655172413793104,１．ゲーム概要 ・ゲームの目的 　しがない天狗の新聞記者「 射命丸文（しゃめいまるあや） 」を操作し、 　新聞の記事になりそうな妖怪、人間、その他の写真を撮影して 　精神的ダメージを与えれば勝ちです。 ・ルール 　敵弾に当たらないように文を操作し、被写体を撮影しましょう。 　 被写体が写っていない写真は没（ノーカウント） となります。 　被写体を 規定回数撮影すればステージクリア です。 　なお、クリアできなかった場合はハイスコアには残りません。 ２．基本技術　操作編 ・操作方法 　 撮影ボタン 　　　　 写真を撮影（フィルム装填100%時） 　　　　　　　　　　 押し続けると一定時間ファインダーモード。 　　　　　　　　　　（キーボードはＺキー） 　 低速移動ボタン 　　 押し続けると文の移動速度が遅くなります。 　　　　　　　　　　（キーボードはShift、及びＸキー） 　 同時押し 　　　　　 超精密移動、及び 　　　　　　　　　　 高速フィルム巻き（フィルム装填100%以下時） 　 決定 　　　　　　 　撮影ボタン 　 キャンセル 　　　　 低速移動ボタン　or　ポーズボタン（キーボードはESC) ３．基本技術　撮影編 ・フィルム装填率 　 100%時のみ写真撮影が可能 、撮影すると0%になります。 ・通常フィルム巻き 　 何もせずとも時間で徐々に回復 し、100%になれば撮影可能です。 ・高速フィルム巻き 　100%に満たない時、 撮影ボタンと低速移動ボタンを同時押しすると、 　 通常より早くフィルムを巻きます 。この時は超精密移動になります。 　＊100%溜まっている状態では、超精密移動のみを行います。 ・ファインダーモード 　 撮影ボタンを押しっぱなしにすると一定時間ファインダーモードに 　 なります 。この時は、文ではなくフォーカスフレームを操作し、 　少し離れた場所を撮影することが可能です。 　＊時間と共にフォーカスフレーム（撮影有効範囲）が小さくなり、 　一定時間でフィルムが 感光（無条件撮影失敗） してしまいます。 ４．基本技術　写真編 ・有効写真と無効写真 　 ボスが写真に収まっていると撮影成功 です。 　この場合は撮影枚数とスコアには加算されません。 ・シュート・ザ・ブリット 　被写体と共に弾幕を撮影すると、 写した弾幕を消すことが出来ます 。 　この時、その美しさで写真の評価点が決まります。 ・決定的瞬間写真 　各ミッション毎に、 最も評価点が高かった写真 は「 決定的瞬間写真 」 　として文の手帖に残ります。 ・撮影時の注意 　撮影するときは 低速移動ボタンを離して撮影ボタンを押さないと 　 撮影できません 。 　しっかりと撮影ポイントに移動してから撮影しましょう。 ５．基本技術　評価点編 ・写真の評価点 　 敵弾を多く撮影するとその写真の評価点が高く なります。 　ボスを写真の中央に収めるほど点数が高くなります。 　（また、様々な条件により点数が加算されます） ・シーンスコア 　シーンスコアは、１シーンの成功写真の合計評価点のみで決まります。 　 失敗写真、およびそれ以外の行動では一切点数は入りません 。 　＊成功写真の枚数は１シーン毎に決められていますので、 　一枚一枚を大切に撮影しましょう。 ・総合撮影評価点 　各シーンの最高評価点（最高シーンスコア）の合計が 　「総合撮影評価点」です。 　つまり、総合撮影評価点も成功写真以外の点数は含まれませんので、 　一枚一枚を大切に。 ６．基本技術　小ネタ編 ・失敗写真のススメ 　失敗写真でも敵弾は消せます。 あえて被写体を狙わずに分厚い弾幕を 　 撮影することで、ピンチを切り抜ける事も可能 です。 　また、失敗写真は手帖には収めず捨ててしまうので、 　 次の撮影までのブランクが短くなります 。その為、無理して被写体を 　撮影しない方が有利になる場合もあります。 ・フォーカスフレームの色 　ファインダーモード時のフォーカスフレームにボスが入ってる時は、 　 フレームが赤く なります。この時に撮影すれば撮影成功です。 ・フォーカスフレームの初期位置 　フォーカスフレームの初期位置はファインダーカーソルの位置です。 　ファインダーカーソルは、高速移動時は移動方向に振れ、低速中は 　ボスの方向を向きます。 ７．応用技術　撮影編 ・ボスの撮影不可能状態 　ボスが消えていたり、画面外にいたり、半透明になっていたり、 　別の物に変形している時は撮影しても必ず失敗します。 　＊撮影不可能の時は 青い魔法陣 を背負っている場合が多い。 ・フィルムが感光するまでの時間の目安 　フォーカスフレームの中心にある大きな円が完全に消えると 　感光（失敗）します。 ・ファインダーカーソルの狙い 　高速でボスに近づいたときは、ファインダーカーソルがボスを 　向いていない事があります。 　この時、 低速移動ボタンを一瞬押すとボスに合わせる ことが出来ます。 ・画面端と写真 　画面端で写真を撮影すると少し小さな写真が出来てしまいます。 　少し損しますので中央寄りで撮影しましょう。 ８．応用技術　ボーナス編 ・写真の評価点ボーナス 　評価点には様々なボーナスがあります。 　　 Boss Shot　ボスが写っている（中央に近いほど高い） 　　 Nice Shot　シャッターチャンスを撮影 　　 Red Shot 　写真に赤が多い 　　 Risk Shot　文が敵弾すれすれの状態で撮影 　など他にも様々なボーナスが存在します。 　＊中には狙う必要のないボーナスもあります。 ・ナイスショット 　ボスが 赤い魔法陣を展開する瞬間が最大のシャッターチャンス です。 　この時に撮影すれば少し多めにボーナスが入ります。 　魔法陣は一瞬だけですので、タイミングを計って撮影しましょう。 　＊シャッターチャンスが存在しないミッションも在ります。 ９．小ネタ　決定的瞬間写真編 ・決定的瞬間写真のロック 　被写体選択で、キーボードの Ｌキー を押すと写真の上にLの字が表示され、 　そのシーンの写真がロックされます。 　以降、決定的瞬間写真より高い点数の写真が撮れても更新されません。 ・決定的瞬間写真の破棄 　ゲーム本体が入っているフォルダの中の、BestShotフォルダに決定的瞬間 　写真が入っています。破棄したいシーンに対応するファイルを破棄すると 　決定的瞬間写真は初期化され、再び写真を撮ることが出来ます。 　破棄したファイルは二度と元に戻りませんので注意。 　＊破棄してもクリア済み情報、ハイスコア、及び総合評価点には影響しません。 ・決定的瞬間写真の手動更新 　ステージクリア画面でベストショットが表示されているとき、左右で 　有効写真を切り替えキーボードの Ｓキー を押すと保存することが出来ます。 　＊ロックしていても強制的に更新します。 ・決定的瞬間写真の処理落ち率 　被写体選択でキーボードのＳキーを押すと、決定的瞬間写真を撮影した 　ときの処理落ち率が表示されます。
2800900,Rift Riff,0.13195419144875503,0.6973222849749722,"Tower Defense,Minimalist,Strategy,Base-Building,PvE,RTS,Nonlinear,Action,Singleplayer,Controller,2D,Colorful,Isometric,Post-apocalyptic,Survival,Real-Time with Pause,Real Time Tactics,Action RTS,Combat,Dystopian",,203,3,206,0.9854368932038835,"Jump a rift, fight off monsters, and plunder their world . Rift Riff is a tower defense game noteworthy in two ways: it's particularly strategic and remarkably forgiving. Strategic At the heart of the strategic layer of Rift Riff is a mix of choosing what towers you bring into each rift and being clever about the various monster behaviors. Monsters attack in waves, either going straight for your Extractor (your main tower) or attacking every tower in proximity. To defend yourself, you choose a handful of towers at the start of a scenario and build them on predetermined spots on the map. You obtain juice (your build resource) during monster waves and have the ability to build and upgrade towers before and during each wave. Surviving the onslaught of monsters gives you prisms, which in turn unlocks more rifts, towers, companions, and tower upgrades. Forgiving Don’t have enough juice to build your tower? Schedule it. Built the wrong tower? Get a full refund. Lost a tower? It’ll respawn for free after the wave. Lost your Extractor? Only redo the last wave. Having a hard time? Pick flowers for a bit of extra juice. Content The full game currently features ± 15–20 hours of gameplay: 20 worlds with 2 or more scenarios each. 17 tower types with 7 overpowered upgrades. 25 monster types with varying behaviors. 6 companions who'll assist you and your towers. 45 challenges for die hards. All the good Steam stuff: achievements, stats, controller support, cloud saves, etc. Have a suggestion or want to report a bug? Talk to the developers on the Steam Forums or on Discord. Made by… Rift Riff is made by game designer Adriaan de Jongh (best known for the indie hit Hidden Folks), graphic designer Sim Kaart, enemy wave designer Professional Panda, music composer and sound designer Matthijs Koster, and programmer Franz LaZerte. Rift Riff is made using the open source game engine Godot."
2294160,Isle of Swaps,0.30953938069108966,0.6513140420717628,"Creature Collector,Roguelike Deckbuilder,Deckbuilding,Trading Card Game,Card Battler,Turn-Based Strategy,Rogue-lite,Turn-Based Tactics,Perma Death,Turn-Based Combat,Card Game,Tabletop,Strategy,Board Game,RPG,Rogue-like,Third Person,3D,Cute,Top-Down",,118,8,126,0.9365079365079365,"The worldwide phenomenon of Critters has the world in its grip and the newest collectable, the Critter Trading Card Game, has just been released! Dina is Critter mad and has been begging her parents for a week to get her some cards. Yesterday they relented and have bought her a starter deck and a lovely binder to keep them in but it's not enough, she wants all the Critter Cards. It's finally lunch time and everyone rushes out to play some more Critter Challenges. It's Critter Combat! Build up energy with weaker Skill cards and spend it to play stronger cards. With each Critter having varied stats, abilities, Weakness and Resistances, making a varied team is key. You don't want your whole team to be weak to Blaze attacks do you? But Skill cards can only be used by Critters of the same element, so maybe using multiple Critters of the same type is a good strategy? You wouldn't want your Aqua Critter to be defeated and then not be able to use your Aqua Skill Cards. Build your deck by swapping with the characters you beat in battle. Got some doubles? Swap as many times as you like and are able, no limits here. Any cards are added to your binder to change up your Battle Deck at any time. Equip Stickers for passive bonuses but be aware that using rarer Critters limits how many Stickers you can use. Balance your deck between Critters, Skills and Stickers to claim victory! Proceed through Challenges by picking one of 3 map cards but if you're feeling brave, unflipped cards award money that can be used to buy Booster Packs. A victory in a Challenge adds the cards in your battle deck to your permanent Master Binder, letting you customise the starting Critter in future runs. Create decks from the Master Binder to take on the Critter Championship and put your deckbuilding to the test. And the next Challenge run? Totally different. With 6 different areas that can appear in any order, you never know what you'll run into next time. Game Features A number of artists have illustrated hundreds of cards to collect and store lovingly in your binder A whole bunch of Skill cards and passive ability Stickers to come up with an array of strategies. Swap with characters you beat to build your deck instead of 'pick 1 of 3 cards'. Swap those dupes! Each run is made up from 3 of the 6 Areas and can be played in any order, doing acts in the same order is pretty boring, right? Collect cards between runs in the Master Binder and use Master Decks to take on the toughest fights in the Critter Championship. This is a game inspired by a single dev's experience of when the pokemon trading card game took over school playgrounds, swapping every breaktime and having illustrated cardboard consume his life."
3070880,Farming & Supermarket Simulator,0.33190601593590957,0.47104881187303466,"Early Access,Relaxing,Simulation,Economy,Management,Family Friendly,Casual,Farming Sim,America,Immersive Sim,First-Person,Collectathon,Crafting,Building,Singleplayer,Inventory Management,Automation,3D,Action,Adventure",,243,25,268,0.9067164179104478,"'Farming &amp; Supermarket Simulator' is a delightful simulation game where you build a farm, grow organic products, feed your animals, and expand your business by selling your products in your supermarket. Grow, Harvest, Use Make the best use of your harvested products: either fill the supermarket shelves or use them as feed for your animals. The choice is yours! Feed and Collect Feed your animals and reap the rewards! Feed your chicken a tomato, collect fresh eggs, and enjoy the fruits of your labor. Invest in Machines Expand your production by purchasing machines! Process your harvested goods to produce valuable items for your supermarket. Cashier Quickly scan items, accept payments in cash or credit, and ensure your customers leave happy with their shopping experience! Work Smart Quickly move your product crates to the market, fill the shelves, and meet your customers' demands! Supermarket Expansion Grow your supermarket with the money you earn! More space, more products, and more customers mean more sales. Strategically organize your shelves and highlight popular products. Farm Expansion Think your farm is too small? Then expand it further. Open more farmland, purchase new machines, and increase animal diversity to grow your farm. 'Farming &amp; Supermarket Simulator' will show you how enjoyable managing both a farm and a supermarket can be. Set your strategy, grow step by step, and achieve success. Enjoy this detailed and delightful gaming experience and become the owner of a large farm and supermarket chain!"
1977740,My Little Sister's Special Place,0.24406079098142533,0.6425344144931238,"Visual Novel,Adventure,Anime,Romance,Comedy,Drama,Text-Based,Singleplayer,Hentai,Sexual Content",,88,4,92,0.9565217391304348,"Story Our hero, Youhei Nase, used to go to Akiba a lot when he was younger. His reason for doing so wasn't to have fun, but for his little sister's sake. Even still, he ended up becoming a big fan of Akiba's game centers. At one point, he becomes friends with one his classmates, who happens to be a rich girl, but that's a story for another time. One day, our hero's younger sister, Yukana Nase, is gifted a Christmas trip by a self-professed proper young lady. Yukana enjoys their trip, where it's just the two of them spending time together as if they're a couple. As our hero watches over his sister during this trip, he makes a realization. He comes to the conclusion that he hasn't truly saved his sister yet. This is the delightful and touching love story of these two siblings. This is the second game in the series! Features Art by Ryohka Fully-voiced (except the MC) Text available in Japanese, English, and Simplified Chinese CG Gallery Mode available"
1100030,Iseshima mystery annai: Itsuwari no Kuro shinnjyu,0.5366439209767809,0.08150792185235287,"Adventure,Pixel Graphics,Retro,2D,Old School,Mystery,JRPG,Visual Novel,Choose Your Own Adventure,Casual,Text-Based,1980s,Detective,Story Rich,Singleplayer,Indie,RPG,Anime,Foreign,Atmospheric",,34,6,40,0.85,"本作は伊勢志摩地方を舞台としたサスペンスADV。 アナタは後輩の刑事ケンと、現場検証や聞き込みをして、事件の解決に挑みます。 ファミコン風サスペンスコマンドADVの完全新作！ コマンド選択式のシステムを採用しているのはもちろん、 当時の風合いを完全再現するため、当時のハード仕様に沿って制作。 キャラクターデザインは漫画家「荒井清和」氏を起用。 【ストーリー】 東京で起きた事件は伊勢志摩へ……。 東京、上野の公園で発見された名もなき変死体。 事故と事件の両面から捜査が進む中、 刑事であるアナタと後輩のケンは、 事件解決の手がかりとなる遺留品、 黒真珠“蒼月”を発見し、伊勢志摩地方へと赴く……。 だが、それは伊勢志摩を舞台にした 悲しい連続殺人事件の幕開けに過ぎなかった……。 【キーボード時操作】 決定 : Z , Enter , Space キャンセル : X , BackSpace メニュー : Esc カーソル移動 : 方向キー、WASD"
961420,Vile,0.23848065848684044,0.779763157531622,"Action Roguelike,Indie,Action,Rogue-lite,Top-Down Shooter,Local Co-Op,Pixel Graphics,Dungeon Crawler,Bullet Hell,2D,Shooter,Twin Stick Shooter,Top-Down,Procedural Generation,Shoot 'Em Up,Replay Value,Addictive,Great Soundtrack,Rogue-like",,35,5,40,0.875,"Vile is an action rogue-lite about fighting demonic creatures and other horrors throughout a vile world. Fight enemies and/or complete random objectives given to you in procedurally-generated dungeons to put a stop to the creatures forever! Collect souls, find new weapons, new artifacts, and battle EPIC bosses! Use your souls to buy talents from 3 different talent trees! Different Objectives: Each playthrough in Vile can be interesting to find something new and fun with random objectives given at the start of levels. If you complete this objectives you will you will be rewarded! This will keep each playthrough feeling fresh with over 20 objectives and if you don't want to complete the objectives then no problem! You can just kill enemies to proceed to the next level. Characters, Weapons, Artifacts: Play as unique characters, each with their own set of abilities, weapons, and an artifacts. Artifacts can provide many uses in battle but they take mana. Stamina regenerates over time and is used for the two abilities of each character. Epic Bosses: Battle 12 epic bosses! Battle a huge bone vulture, on a carriage, and each different from the last. Talent Trees: Three awesome talent trees with so many talents to purchase from. Ranging from loot that gets pulled in to your character, an extra spell, keep souls gathered or gain health when an objective is completed and many more! Maps and Loot: With 6 different worlds, plenty of weapons and artifacts to find there is a lot of things to enjoy in Vile! Key Features Random objectives given at the start of the level to complete or you can just kill enemies to proceed Epic bosses to battle Unlock unique characters with two abilities to give the player plenty of options Three different talent trees with multiple talents to purchase upgrades from! Local Co-op - Team up with a friend 6 Different and always changing maps Find new weapons and artifacts every time you play."
1464550,RagingBlasters,0.2748335948641592,0.5925425604996839,"Shoot 'Em Up,Shooter,Female Protagonist,Action,Pixel Graphics,Score Attack,Retro,Local Co-Op,Indie,Casual,2D,Arcade,Singleplayer,Space,1980s,Local Multiplayer,1990's,Bullet Hell,Anime,Co-op",,116,1,117,0.9914529914529915,"Raging Blasters is a vertical scroll shmup featuring high speed scrolling and the exhilaration of destruction. Arcade mode: It consists of 8 stages. The game is cleared when you break through all the stages. You can choose from three difficulty levels. Caravan mode: 3 minute score attack. *Game scores are recorded both online and locally. You can compete with other users for scores online. *Two-player cooperative play is possible. HOW TO PLAY: Use the directional stick and three buttons: forward shot, wide shot, and speed change. You can change the button assignments as you like. Main weapon can switch between forward shot and wide shot at any time. Sub weapon can switch to 5 unique patterns by getting items."
889700,Muv-Luv photonflowers*,0.21251589171839796,0.4696965839663918,"Visual Novel,Anime,Mechs,Romance,Sci-fi,Post-apocalyptic,Adventure,Casual,Choose Your Own Adventure,Gore,Violent,Story Rich,Kickstarter,Crowdfunded,Sexual Content,Hentai,Singleplayer,LGBTQ+,Mature,Nudity",,232,14,246,0.943089430894309,"The Best of Both Worlds! Just as the Muv-Luv saga takes place across multiple universes, this collection is divided into two distinct halves: lighthearted romps through the wacky world of Muv-Luv Extra, and sobering new perspectives on Muv-Luv Alternative 's tragic timeline. From the Extra universe, you'll find: Before the Cherry Blossoms Bloom ~Muv-Luv After Episode~ An extensive epilogue depicting the aftermath of Sumika's route from Muv-Luv Extra. Meiya may be gone, but not all is well in paradise. The transition from friends to lovers hasn't been a smooth one for Sumika and Takeru, and it's making things pretty awkward among their circle of friends. With graduation now only weeks away, will they be able to make their last month of high school something to remember, or was this the biggest mistake they've ever made? Six individual ministories from the perspectives of the game's main heroines, taking place prior to the events of Muv-Luv Extra From the world of Alternative, you'll find: Atonement Sergeant Jinguuji recounts her time as a cadet in the Surface Pilot Training Academy, and how she overcame her first harrowing encounter with the BETA. Rain Dancers This short story follows Monica Giacosa as she takes part in the first combat test flights of the much-anticipated EF-2000 Typhoon. Confessions This side story follows a younger Captain Isumi as she suffers through Sergeant Jinguuji's boot camp from hell, learning more than a few things about herself in the process. Chicken Divers A Unique spinoff that offers a brief glimpse into one of the most prestigious TSF units there is: the Orbital Divers. In a dark cockpit high above the Earth, one man attempts to make peace with himself as he awaits reentryーknowing full well it might be the last opportunity he gets. Inheritance Learn what happened to Captain Isumi's little sister in the wake of Operation 21st as she and the other IJA survivors attempt to pick up the pieces in the days that follow."
